2018-05-30 13:11:27.879 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-05-30 13:11:27.910 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@25b485ba, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2b546384, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@5d740a0f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@214b199c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@20d3d15a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2893de87]
2018-05-30 13:11:27.990 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-mybatis.xml]
2018-05-30 13:11:28.239 [main] INFO  org.springframework.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@2aa3cd93: startup date [Wed May 30 13:11:28 CST 2018]; root of context hierarchy
2018-05-30 13:11:28.446 [main] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-05-30 13:11:29.904 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2018-05-30 13:11:30.003 [main] INFO  com.kasey.ssm.dao.IUserMapperTest - 查询结果是:User(id=1, name=zhangsan, password=123456)
2018-05-30 13:11:30.005 [main] INFO  com.kasey.ssm.dao.IUserMapperTest - 查询结果是:User(id=2, name=lisi, password=123456)
2018-05-30 13:11:30.050 [Thread-1] INFO  org.springframework.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@2aa3cd93: startup date [Wed May 30 13:11:28 CST 2018]; root of context hierarchy
2018-05-30 13:11:30.058 [Thread-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2018-05-30 14:15:27.957 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-05-30 14:15:27.977 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7d68ef40, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5b0abc94, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@75c072cb, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1f1c7bf6, org.springframework.test.context.transaction.TransactionalTestExecutionListener@25b485ba, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2b546384]
2018-05-30 14:15:28.052 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-mybatis.xml]
2018-05-30 14:15:28.241 [main] INFO  org.springframework.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@527e5409: startup date [Wed May 30 14:15:28 CST 2018]; root of context hierarchy
2018-05-30 14:15:28.445 [main] INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-05-30 14:15:29.823 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2018-05-30 14:15:29.931 [main] INFO  com.kasey.ssm.dao.IUserMapperTest - 查询结果是:User(id=1, name=zhangsan, password=123456)
2018-05-30 14:15:29.932 [main] INFO  com.kasey.ssm.dao.IUserMapperTest - 查询结果是:User(id=2, name=lisi, password=123456)
2018-05-30 14:15:29.986 [Thread-1] INFO  org.springframework.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@527e5409: startup date [Wed May 30 14:15:28 CST 2018]; root of context hierarchy
2018-05-30 14:15:29.992 [Thread-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
